experiment,run,model,ME,MAE,RMSE,RMSE_avg,LL
3,10,2,0.014821720364827411,0.14362333355599607,0.1803386655622288,0.12276360151464664,-0.8873914386586692
3,10,3,0.0073936721712056855,0.14022325980285497,0.17465018971563032,0.06091728286094721,-0.8637842365508032
3,11,1,-0.00454871624751044,0.18766833309745562,0.23405335797847643,0.15526306699555398,-1.1724263198754203
3,11,2,-0.007954981448852452,0.1620499590952967,0.20291431297221119,0.06160221530664188,-1.031125539412252
3,11,3,-0.005641752575454394,0.1540298858864932,0.19376739211467794,0.06060433469654969,-0.9800225143057519
3,12,1,-0.010692457060711964,0.18998634597650324,0.23926847430677695,0.1603293242785694,-1.1678427524905786
3,12,2,-0.0019433426895686687,0.15039366690039127,0.18931828063876974,0.12273978454102177,-0.931506487304417
3,12,3,-0.0028965213697950505,0.14747408480050486,0.18405224934468262,0.07269363941800912,-0.9108064082388346
3,13,1,-0.001566003989081486,0.19257302772498786,0.24220609973823765,0.16558817116469643,-1.142271004106144
3,13,2,-0.007395958757406017,0.15213973020217522,0.19094217330636046,0.10863724321948245,-0.9025913810670534
3,13,3,0.0008707656387113541,0.1391430913471983,0.17403293022088426,0.08981161151861308,-0.8178534878252581
3,14,1,0.004159728412702156,0.19948059963150258,0.24766934000231078,0.16943943893687663,-1.1837939658898535
3,14,2,0.0065071873789609835,0.1459775986436064,0.18553076618879843,0.07605609743661351,-0.8787191441740859
3,14,3,0.0023446995700038974,0.1523598924603137,0.19106902608204374,0.07194826778474692,-0.9185010585346983
3,15,1,-0.00650380988122397,0.19729514081170843,0.24612132447412674,0.16411704022103918,-1.168886931927336
3,15,2,-0.0036154154445846715,0.14381132432694868,0.18012591101655398,0.08938380946654756,-0.8516643269373341
3,15,3,-0.0008120010901971501,0.14159877296645312,0.1768194056552827,0.06557568704344682,-0.8376637424644312
3,16,1,0.0078375348722164,0.19523556878217596,0.2453126685334709,0.15782849970405308,-1.1673559020938808
3,16,2,0.0023679120706848406,0.1556069809849751,0.19464754888528568,0.11165847980328868,-0.9351669823407387
3,16,3,0.005403000086797888,0.15051515752955977,0.18800741585292832,0.06470219162695577,-0.9040120803441974
3,17,1,0.0037995122537955468,0.18922353442425927,0.24031630150049377,0.1813094649011211,-1.1403934089280248
3,17,2,-0.0023726528444672794,0.1548642679346204,0.19681384802881746,0.11465864286295306,-0.9396516854924923
3,17,3,-0.004213595978803657,0.15321116183103525,0.193372025873941,0.0902013795353763,-0.9267307285545694
3,18,1,0.0027762694400549496,0.20326415873402587,0.25254108473813003,0.1860398041481439,-1.2039398603938816
3,18,2,-0.004342075315330051,0.14746427135219548,0.18807543535769267,0.11251069725548639,-0.8901991351932736
3,18,3,-0.0038760448462654383,0.1433178189702737,0.18074315608220784,0.08335771568746013,-0.8615476466965943
3,19,1,-0.0012028208545350754,0.19676527376505673,0.24379222641578926,0.17551435089488523,-1.1768518338449265
3,19,2,-0.005927720348246451,0.15524985186204768,0.19979215948014292,0.26371158364675645,-0.943369160029778
3,19,3,-0.0037014000143413966,0.15097010246792797,0.18930381072209662,0.06752627751792525,-0.9187092115441851
3,20,1,-0.0018718614979947468,0.18962313517700136,0.2376215833465726,0.15696699426992713,-1.1657374212352947
3,20,2,-0.006173865251272987,0.15413184999836707,0.19511344737761083,0.07840630462639064,-0.9617659043545036
3,20,3,-0.007772430151053313,0.15075163424569626,0.1899119655459049,0.05293159549069944,-0.9387495938354463
3,21,1,0.010192429662820655,0.20583324816726145,0.26183028755305504,0.20633999566346953,-1.1554376647686666
3,21,2,0.007230813670825364,0.15452425173356038,0.19402536166333048,0.1299140661963847,-0.8605668228176704
