model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,NLL,run
GBM_ignore_cat,0.263893911824298,0.22399733565141827,0.3004908421483515,0.32721561251294523,0.2578126705599052,0.10256306439828454,0.10162854704781504,0.18528817316957744,0.3018025733168905,8
GBM_one_hot,0.2624085191642812,0.2243890013248028,0.29951467454955105,0.325610614971799,0.26507569435627454,0.0945567650770428,0.09340942919434618,0.1843784035537655,0.29688548908425,8
GBM_GLMM_enc,0.2569640226128105,0.21573571646274048,0.2977825893414493,0.3191960201165709,0.2937467861388342,0.0733776832349129,0.07326874900135384,0.1807797130743243,0.27698865141397727,8
NN_ee,0.2631566998703389,0.22512189317090062,0.30295643913641057,0.3282248366728746,0.25322738508298437,0.07622731174624622,0.07716690347793406,0.18562136177566602,0.3048821054353791,8
GBM_ee,0.2628842143846535,0.22321444087573716,0.3007595182342761,0.3256725960494308,0.26479587709124563,0.09591090911946898,0.0949059938123284,0.1845385209166869,0.2970758243386219,8
GLMM,0.26460258234291795,0.22357578533850495,0.3023449838368778,0.32926252040984305,0.24849807360462628,0.0694656812031939,0.06989349823424211,0.1864273042532891,0.3083362283807844,8
GPBoost,0.26387457956822663,0.22390236336837344,0.3021579105943514,0.32756280197990595,0.25623685132714535,0.07574119822989493,0.07550479490297923,0.18564469833631925,0.30872236706995443,8
GLMMNet,0.26210837906576984,0.22239394417261454,0.29804173929955624,0.3279474048168107,0.2544892698078183,0.07757494209965672,0.07759113278489246,0.18552266135490345,0.319152429513318,8
GLMMNet_l2,0.25521061529249317,0.21868384024830487,0.2928619373278767,0.3182209892359247,0.29805490344940544,0.0820416612022123,0.0819946087665519,0.18009447896025368,0.2776340319129497,8
GLM_ignore_cat,0.26879970716262525,0.22170263499299828,0.30296132305157286,0.3391312205929304,0.20097682565503205,0.1071490257060095,0.10644112373997366,0.1911138440403878,0.3375703681013845,9
GLM_one_hot,0.26324678602281804,0.22073651147162482,0.2979966399627175,0.3319289689057276,0.23455473085653955,0.08100948760518503,0.08052934564119758,0.18691982060997653,0.3161042511695212,9
GLM_GLMM_enc,0.26319307445492657,0.21994755296451762,0.2974648615990705,0.33166840017565546,0.2357560289322782,0.07961164101141442,0.07958282059386548,0.18684135524342643,0.3153189293596275,9
GBM_ignore_cat,0.26319881138085044,0.2189058721668362,0.30227907756850386,0.33050844939941293,0.24109229385918918,0.10551223957629453,0.1050540810736382,0.18652029218206068,0.31181547869251625,9
GBM_one_hot,0.26043924326186296,0.21715297982288162,0.2972778972020721,0.32766959624549696,0.25407335362704564,0.09149323089379485,0.09148725552437965,0.18476750711689593,0.3031890263905063,9
GBM_GLMM_enc,0.258433567527748,0.2152498981014036,0.29586142295567763,0.3250140742906942,0.26611473947961783,0.0801647415026217,0.08027497001967594,0.18316065149888436,0.2950517411244449,9
NN_ee,0.260846692780345,0.22244426901534048,0.30814951028541826,0.32800418834931505,0.25254920493742217,0.08568195518986906,0.08508192777304573,0.18492442961809757,0.3042096318828196,9
GBM_ee,0.26264173578386435,0.21766826043922588,0.303052272303873,0.32975631627469437,0.24454243345685212,0.09963816003789697,0.09999599875445975,0.18607914348513935,0.3095372003740213,9
GLMM,0.26252911856071953,0.2213910914692988,0.2991441439117924,0.3312101836536985,0.23786625295233144,0.0771800505313106,0.07684473972536272,0.1865253066375556,0.31452008438586754,9
GPBoost,0.2613438116518454,0.2179949402974926,0.2962759154399477,0.3295563787104046,0.24545825248919861,0.076252370193008,0.0756404445684206,0.1858507849542215,0.31573341054534587,9
GLMMNet,0.2640548582463214,0.2212816167832545,0.30615714568923375,0.33278354399601867,0.23060826896625164,0.08519917399059505,0.08379707284603492,0.18825235520717154,0.3443894817321183,9
GLMMNet_l2,0.2569952298650575,0.21510312326782327,0.30493053797877434,0.3231991010182813,0.2742883119480267,0.08790956981436596,0.08803154947606856,0.18227611817980338,0.2942191435260903,9
GLM_ignore_cat,0.26847648987987666,0.2318126804234845,0.302649555533814,0.33305248040232255,0.27095365437009844,0.10180674151603326,0.09979193410919242,0.1884627549600559,0.3194833305913659,10
GLM_one_hot,0.26191821832673884,0.2263381854214268,0.3040797863393292,0.3260550827774307,0.30126621614305216,0.07512643596604426,0.07302454843332326,0.18436498269192333,0.2982495868911089,10
GLM_GLMM_enc,0.2618461261156742,0.22735019167833018,0.298374349979294,0.32588666769959745,0.3019878544138037,0.07451080446446176,0.07254979907164787,0.18431388635738755,0.2977329300534198,10
GBM_ignore_cat,0.25791025458813477,0.21754994198492295,0.2856837939501049,0.32184501881058164,0.31919399700794415,0.09755005359270254,0.09535591376856807,0.18182894785123485,0.28525337585937693,10
GBM_one_hot,0.2571267570086783,0.21927874500933445,0.28706444374215034,0.32098314660224764,0.3228353901205203,0.08847353724525217,0.08646823004904694,0.18136116698656132,0.28257187317749494,10
GBM_GLMM_enc,0.25339557133713797,0.21834640264374672,0.28509329931136385,0.31616512935694224,0.3430115567065094,0.07460779834316175,0.07223052990474566,0.17863166089562296,0.2674478925780075,10
NN_ee,0.25877032703273106,0.2270947085043951,0.30261732554231213,0.3213322665866404,0.3213615416140835,0.0745317396485221,0.07331782509788654,0.1818210422362581,0.283658940408342,10
GBM_ee,0.2572159676303395,0.21747577102058085,0.2864982948156247,0.3211732080320328,0.32203322353160435,0.0938579308313958,0.09177363533915676,0.1814472888051042,0.2831638207116537,10
GLMM,0.26177787442699846,0.22690795068220249,0.29922854694920964,0.32558810624762186,0.30326623783722706,0.07241968694159537,0.07029669541212673,0.18417696404406553,0.29709126935475827,10
GPBoost,0.2589654745622165,0.2188834952065344,0.2970707698847257,0.3232980162094674,0.31303300504299014,0.07216807219873268,0.07001129102816689,0.18277417334403284,0.2956220266185001,10
GLMMNet,0.2626954212040631,0.22323593702514505,0.30367415407674736,0.3271217539898397,0.2966870000096441,0.07479390058959393,0.0725433778122681,0.18587408595052332,0.3232314645496421,10
GLMMNet_l2,0.2532744078559623,0.21628930413721972,0.3006247608586731,0.3164464736601268,0.34184177433699625,0.07793331341830076,0.0766266265704628,0.17896812136600157,0.27147303715577964,10
GLM_ignore_cat,0.27623724964441765,0.2369220869621648,0.3134881116284284,0.3448654570933478,0.22517999818859524,0.09657992429572392,0.09876707283745993,0.19483673406705895,0.3543376157525666,11
GLM_one_hot,0.2717115027100801,0.23492518434247472,0.3046258618950657,0.3398691534466537,0.24746807192308196,0.07986388092408986,0.07957404390913189,0.19192290492180109,0.3397439549577867,11
GLM_GLMM_enc,0.2715617646115756,0.23665836031515822,0.30637818545605955,0.339267738374624,0.25012899954393075,0.07591194264319122,0.07711724111747412,0.19162461460699887,0.33797283859970045,11
GBM_ignore_cat,0.2693227343890135,0.2321426668197832,0.30810936170939296,0.3346357714777613,0.2704649556787678,0.09442759377214345,0.0958803502344757,0.1892702836338398,0.3242259452431784,11
GBM_one_hot,0.268371295389113,0.2322699461889316,0.30904096237281287,0.33330102924016314,0.27627305730911067,0.08675538481149385,0.08798494932142392,0.18859525382818929,0.32022932756075395,11
GBM_GLMM_enc,0.2650274529226635,0.2288968679012015,0.3021722101492328,0.33005746313887063,0.2902906190450836,0.0762986990688877,0.07778088359290432,0.18658814980321065,0.3104500242479171,11
NN_ee,0.2682824238556512,0.2327481990123772,0.30641020905602667,0.3351319935928803,0.2682997368828114,0.07649441121613217,0.07677017658113484,0.18920317008730275,0.32570771917077557,11
