experiment,run,model,ME,MAE,RMSE,RMSE_avg,LL
1,19,1,0.00032752148457422796,0.20300793302461542,0.2547181109992103,0.17823589075817886,-1.204324594531735
1,19,2,-0.0014493949922162273,0.15820422366832998,0.19844497817302437,0.047863714814953565,-0.956140086157966
1,19,3,-0.0024834532147651176,0.15577070714216337,0.19527892917150544,0.048715675384844496,-0.9411549266600954
1,20,1,0.004103742864480006,0.1980802511049684,0.24802191698548273,0.16246142784539813,-1.1803503196149157
1,20,2,0.009297908744454002,0.16036088032715556,0.20024169352436294,0.048259204183074354,-0.9691683039037358
1,20,3,-0.0008948253627924052,0.15546814611271875,0.19397418235817873,0.04513851611920314,-0.9355093523784662
1,21,1,-0.004064120798002111,0.196283104605125,0.24464013796252612,0.17047569466745635,-1.162245289335746
1,21,2,-0.003657234229800705,0.1578730947976496,0.19832520431460302,0.04950870390897996,-0.9463619317466868
1,21,3,0.0001984397364510526,0.1550958313170254,0.19510136245355883,0.04928806817545935,-0.929936977158081
1,22,1,-0.0047681985783778694,0.18679417761449563,0.23314727766285676,0.16015733162365361,-1.132428603943033
1,22,2,-0.0028732604387840797,0.1587941356942397,0.19998142796786098,0.05025474203836267,-0.9735522607868834
1,22,3,0.007009756089186195,0.14966602366223047,0.1894206528698186,0.04779376706917665,-0.9154599969634554
1,23,1,-0.0035050383298216845,0.18776295492105882,0.2373919847509675,0.14958510985325577,-1.1710498141389585
1,23,2,-0.0039036573520407317,0.14353076514968485,0.1811517716208693,0.04235913366868773,-0.9031507780069865
1,23,3,-0.005103054749751756,0.1549948984060075,0.19439146487695877,0.04641110225543155,-0.9766089132073829
1,24,1,-0.002905681297769177,0.1870196468065118,0.23494120374227195,0.16208390784930046,-1.1187908949395546
1,24,2,-0.013044004832265114,0.16448644020411016,0.2050437846215136,0.053021400057710756,-0.9913247350913207
1,24,3,-0.006063756966703144,0.15650420801683068,0.19509170982330162,0.049274698983168524,-0.9410250879169864
1,25,1,0.0024687188922759584,0.19545746426154348,0.2468578686473954,0.17407427401510836,-1.1650652659026077
1,25,2,0.0044430269415516015,0.15670268794942202,0.196377890773075,0.04915841304883918,-0.9379762539613892
1,25,3,0.007247580969949786,0.150378705292662,0.18882679269983085,0.046585242653894444,-0.8990164439975807
1,26,1,0.007870155710970226,0.19442065493927002,0.24411387555258365,0.1828122063716166,-1.1481123782450147
1,26,2,0.0012590306364334161,0.14207558138394136,0.1773665918252649,0.04060343804451828,-0.8341749260401768
