model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLMM,0.2711871422216278,0.22890812242757375,0.12823320977687003,0.3432112257517161,0.5354602503192856,0.09643609706258913,0.09367063012345964,0.1928986717273127,4
GPBoost,0.2570457854674494,0.21830524964721087,0.1251009471625472,0.32422475860443856,0.5854353527276678,0.09074332765018206,0.08863478649153202,0.18296909076676401,4
GLMMNet,0.2442867116399386,0.21098804809451643,0.11926778403114821,0.3042747058301064,0.6348833690308942,0.08766023966399437,0.08534879760674718,0.17235889700544335,4
GLMMNet_dropout,0.33289686333603524,0.2934341735771836,0.17137576189581763,0.41170172360699314,0.3315556091221319,0.26230886663601344,0.2624530399885077,0.24363690482551875,4
GLM_ignore_cat,0.36457468005624144,0.30699345331524286,0.16314833407752505,0.4565332472774168,0.316579923320197,0.29922505044538444,0.2992166731881446,0.2574866270976795,5
GLM_one_hot,0.2800009144819689,0.2358032695008907,0.12607471280386492,0.35238068312517445,0.5928381325182362,0.07344997369092564,0.07395103282216091,0.1986206667229013,5
GLM_GLMM_enc,0.28236044003735156,0.23752369753611768,0.12720753481883113,0.3553301584990395,0.5859936040447239,0.08621867127078134,0.08721617605855413,0.20032538310047746,5
GBM_ignore_cat,0.34182815366676644,0.2907748496181435,0.15251859933689255,0.42837571242564687,0.398282571635149,0.298131487034489,0.2976030614801244,0.24178136939429004,5
GBM_one_hot,0.3178470510165459,0.272188672988255,0.14236477923104096,0.39587420748393987,0.48612519472028526,0.23278416260509882,0.23274339436409075,0.2238612659284242,5
GBM_GLMM_enc,0.2602101174683931,0.21822329231949122,0.11870664488960268,0.32351881168371016,0.6568041807280888,0.09471255962094405,0.09536816653831141,0.18305611108633837,5
NN_ee,0.24455663363063895,0.20912189691552496,0.11169551644124809,0.30638337997504117,0.6921966677292255,0.06998205512312627,0.07023371809396936,0.1731337680041409,5
GBM_ee,0.32025851791807003,0.26845868450292276,0.14270479569087235,0.4016710331029248,0.4709655691381416,0.25252221775111805,0.25193152430453786,0.2265455394215408,5
GLMM,0.2801656690384275,0.23583828013343822,0.12575303596548892,0.3526324534202897,0.5922561035378424,0.0738723031509152,0.07424641841681366,0.1987626344728185,5
GPBoost,0.2664352750304408,0.22734106616379068,0.12127712746963223,0.33153889166530676,0.6395775172877987,0.07612473670881223,0.07570362592360418,0.18781938170791654,5
